SR. NO.,District,Taluka,Village Name
531,Satara,Khataw,Bitalewadi
532,Satara,Khataw,Husenpur
533,Satara,Khataw,Katarkhatav
534,Satara,Khataw,Yeralwadi
535,Satara,Khataw,Nathval
536,Satara,Khataw,Bombale
537,Satara,Khataw,Dalmodi
538,Satara,Khataw,Dombewadi
539,Satara,Khataw,Yelmarwadi
540,Satara,Khataw,Palsgaon
541,Satara,Khataw,Banpuri
542,Satara,Khataw,Manewadi/Tupewadi
543,Satara,Khataw,Enkul
544,Satara,Khataw,Khatval
545,Satara,Khataw,Kansewadi
546,Satara,Khataw,Pimpari
547,Satara,Khataw,Suryachiwadi
548,Satara,Khataw,Datewadi
549,Satara,Khataw,Dhondiwadi
550,Satara,Khataw,Goregaon Nimsod
551,Satara,Khataw,Aundh
552,Satara,Khataw,Karandewadi
553,Satara,Khataw,Jaigaon
554,Satara,Khataw,Nandoshi
555,Satara,Khataw,Trimali
556,Satara,Khataw,Khabalwadi
557,Satara,Khataw,Yeliv
558,Satara,Khataw,Kharshinge
559,Satara,Khataw,Ganeshwadi (Aundh
560,Satara,Khataw,Gopuj
561,Satara,Khataw,Kumthe
562,Satara,Khataw,Gosavyachi Wadi
563,Satara,Khataw,Varud
564,Satara,Khataw,Loni
565,Satara,Khataw,Dhakatwadi
566,Satara,Khataw,Kalmbi
567,Satara,Khataw,Vadi
568,Satara,Khataw,Landewadi
569,Satara,Khataw,Bhosare
570,Satara,Khataw,Vadkhal
571,Satara,Khataw,Kokrale
572,Satara,Khataw,Ambheri
573,Satara,Khataw,Mayani
574,Satara,Khataw,Chitali
575,Satara,Khataw,Shedgewadi
576,Satara,Khataw,Nimsod
577,Satara,Khataw,Morale
578,Satara,Khataw,Mardwak
579,Satara,Khataw,Gundwadi
580,Satara,Khataw,Anphal
581,Satara,Khataw,Kankatre
582,Satara,Khataw,Padal
583,Satara,Khataw,Kanharwaadi
584,Satara,Khataw,Hivarwadi
585,Satara,Khataw,Vikhale
586,Satara,Khataw,Pachvad
587,Satara,Khataw,Mulikvadi
588,Satara,Khataw,Dhokalwadi
589,Satara,Khataw,Kaledhon
590,Satara,Khataw,Tarswadi
591,Satara,Khataw,Garudi
592,Satara,Khataw,Garlewadi
593,Satara,Khataw,Pusesavali
594,Satara,Khataw,Thorvewadi
595,Satara,Khataw,Laxminagar
596,Satara,Khataw,Rajachi Kurle
597,Satara,Khataw,Pargaon
598,Satara,Khataw,Goregaon Wangi
599,Satara,Khataw,Girijashankarwadi
600,Satara,Khataw,Wadgaon (J.Swa)
601,Satara,Khataw,Unchithane
602,Satara,Khataw,Wanjoli
603,Satara,Khataw,Ladegaon
604,Satara,Khataw,Rahatani
605,Satara,Khataw,Bhushangad
606,Satara,Khataw,Hollichgaon
607,Satara,Khataw,Chorade
608,Satara,Khataw,Shenwadi
609,Satara,Khataw,Mahasurne
610,Satara,Khataw,Musandwadi
611,Satara,Koregaon,Wathastation
612,Satara,Koregaon,Tadvale Sn.Wagholi
613,Satara,Koregaon,Deoor
614,Satara,Koregaon,Pinpode Kh
615,Satara,Koregaon,Talliye
616,Satara,Koregaon,Vikhale
617,Satara,Koregaon,Jadhavwadi
618,Satara,Koregaon,Phadtarwadi
619,Satara,Koregaon,Bichkule
620,Satara,Koregaon,Nalwadewadi
621,Satara,Koregaon,Pimpode Bu.
622,Satara,Koregaon,Khamkarwadi
623,Satara,Koregaon,Ambvade S.Wagholi
624,Satara,Koregaon,Banwadi
625,Satara,Koregaon,Dhudhanwadi
626,Satara,Koregaon,Arabwadi
627,Satara,Koregaon,Dhahigaon
628,Satara,Koregaon,Assngaon
629,Satara,Koregaon,Bhavenagar
630,Satara,Koregaon,Dhingewadi
631,Satara,Koregaon,Sonke
632,Satara,Koregaon,Jagtapwadi
633,Satara,Koregaon,Nandval
634,Satara,Koregaon,Randullabad
635,Satara,Koregaon,Karanjkhop
636,Satara,Koregaon,Chavaneshwar
